string_id,string_value,note
japanese_30,茨城,マップ名
japanese_31,愛知,マップ名
japanese_32,大阪,マップ名
japanese_33,福岡,マップ名
japanese_34,神奈川,マップ名
japanese_68,スタミナMAX値　80,コンビニアイテム
japanese_69,スタミナMAX値　120,コンビニアイテム
japanese_70,スタミナMAX値　160,コンビニアイテム
japanese_71,1000ガチC,コンビニアイテム
japanese_72,3000ガチC,コンビニアイテム
japanese_73,10.000ガチC,コンビニアイテム
japanese_74,30.000ガチC,コンビニアイテム
japanese_75,100.000ガチC,コンビニアイテム
japanese_76,1000ガチC,コンビニアイテム
japanese_77,3000ガチC,コンビニアイテム
japanese_78,10.000ガチC,コンビニアイテム
japanese_79,30.000ガチC,コンビニアイテム
japanese_80,100.000ガチC,コンビニアイテム
japanese_tutorial_first_map_scene,俺はお前の分身だ！　夜露死苦な！\n喧嘩上等だ！　暴れまくってくれ！\n最初のマップは茨城だな！,初MAP画面遷移時
japanese_tutorial_first_stage_scene,茨城のステージ１は死喪妻だ！\n〈シモツマ〉と読むんだ、スゲーだろ！\nステージは１２まであるぞ！,初ステージ選択画面遷移時
japanese_tutorial_first_selecting_item_scene_1,ここでお守りを装備できるぞ！\nアイコンをタップすると装備される\nもう一回タップで装備を外すぞ,初アイテム装備画面遷移時
japanese_tutorial_first_selecting_item_scene_2,お守りはドロップアイテムの有効時間を\n延長してくれるから喧嘩に有利だな！\nお守り〈極悪非道〉をくれてやる！,初アイテム装備画面遷移時
japanese_tutorial_enter_stage,いよいよ喧嘩開始だ！　攻めまくれ！\n向こうにある敵アジトをぶっ潰すんだ\n俺のＨＰがなくなったら負けだぞ！,ステージEnterしたとき
japanese_tutorial_yp1-1,さぁメンバーを呼び出して\n敵ヤンキーどもをぶちのめすんだ！\n今はパンチの奴だけ呼べるぞ！,ユニット生産チュートリアルの内容
japanese_tutorial_yp1-2,メンバーの呼び出しには時間がかかる\nスグ来るやつは重宝するな！\nピンクに光ると呼び出しＯＫだ！,
japanese_tutorial_yp2_1,経験値が貯まって２人目を呼べるぞ！\n呼び出しボタンの脇に数字があるな？\nメンバー呼び出しに必要なスタミナだ！,ユニット生産チュートリアルの内容
japanese_tutorial_yp2_2,スタミナの総量はここに書いてあるぞ！\n強いメンバーほどスタミナが必要だな！,ユニット生産チュートリアルの内容
japanese_tutorial_bike,敵を倒せば単車ブッ込みゲージが貯まる\nゲージはステージを持ち越せるんだ\nさぁ単車ブッ込み攻撃で一網打尽だぁ,バイクぶっ込みチュートリアルの内容
japanese_tutorial_boss,メンバーが決まった数だけ倒されると\n俺がブッ込んでやる！,ボスぶっ込みチュートリアルの内容
japanese_tutorial_item_di_01_1,倒した敵がアイテム落としたぞ！\n紫の玉は爆速玉だな！\nこいつはメンバー呼び出しが倍速になる！,ドロップアイテム爆速玉のチュートリアルの内容
japanese_tutorial_item_di_01_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム爆速玉のチュートリアルの内容
japanese_tutorial_item_di_02_1,倒した敵がアイテム落としたぞ！\n赤い玉は凶撃玉だな！\nこいつは攻撃力が倍になるんだ！\n,ドロップアイテム凶撃玉のチュートリアルの内容
japanese_tutorial_item_di_02_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム凶撃玉のチュートリアルの内容
japanese_tutorial_item_di_03_1,倒した敵がアイテム落としたぞ！\n青い玉は狂防玉だな！\nこいつは防御力が倍になるんだ！\n,ドロップアイテム狂防玉のチュートリアルの内容
japanese_tutorial_item_di_03_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム狂防玉のチュートリアルの内容
japanese_tutorial_item_di_04_1,倒した敵がアイテム落としたぞ！\n赤と紫２色玉は撃速玉だな！\n攻撃力倍でさらに呼び出し倍速だ！,ドロップアイテム撃速玉のチュートリアルの内容
japanese_tutorial_item_di_04_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム撃速玉のチュートリアルの内容
japanese_tutorial_item_di_05_1,倒した敵がアイテム落としたぞ！\n青と紫２色玉は防速玉だな！\n防御力倍でさらに呼び出し倍速だ！,ドロップアイテム防速玉のチュートリアルの内容
japanese_tutorial_item_di_05_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム防速玉のチュートリアルの内容
japanese_tutorial_item_di_06_1,倒した敵がアイテム落としたぞ！\n赤と青２色玉は撃防玉だな！\n攻撃力も防御力も倍になるぞ！,ドロップアイテム撃防玉のチュートリアルの内容
japanese_tutorial_item_di_06_2,アイテムをタップすると有効になるぞ\n有効中は次のアイテムは使えないんだ！\nお守りで有効時間を伸ばせるぞ！,ドロップアイテム撃防玉のチュートリアルの内容
japanese_tutorial_conbini_page1_1,ラーメンが体力回復アイテムだ\n腹が減って喧嘩できねぇなんて\n涙出るくらい情けねぇぜ！,コンビニページ1チュートリアルの内容
japanese_tutorial_conbini_page1_2,左端に見えてるラーメン缶は\nダチからもらう回復アイテムだ\n相手が贈ってから２４時間有効だぞ！,コンビニページ1チュートリアルの内容
japanese_tutorial_conbini_page2,お守りはここで手に入れられるぞ！\nドロップアイテムの有効時間を伸ばせるぞ\nお守りは友達招待でももらえるからな！,コンビニページ2チュートリアルの内容
japanese_tutorial_ajito_1,ここがステイタス画面だな！\n単虎やフェイスブックとの連携ができるぞ\n招待ボタンからＳＮＳ拡散もできるぞ,アジトページチュートリアルの内容
japanese_tutorial_ajito_2,単虎と連携すると\n単虎のダチをガチトラのダチにできる！\nダチには回復アイテムを贈れるぞ！,アジトページチュートリアルの内容
japanese_tutorial_ajito_3,お前のＩＤで登録したユーザーがいると\nその人数に応じて豪華プレゼントだ！\n詳しくは招待アイコンで確認してくれ！,アジトページチュートリアルの内容
japanese_tutorial_upgrade_1,スタミナをアップグレードできるぞ！\nスタミナの上限が増えると\n強いメンバーを呼び出しやすくなるな！,アップグレードページチュートリアルの内容
japanese_tutorial_upgrade_2,ここで出撃メンバーを選ぶんだ\nメンバーを出撃リストにドラッグしてくれ\n戻すときは逆にリストの方へドラッグだな,アップグレードページチュートリアルの内容
japanese_tutorial_upgrade_3,メンバーもアップグレードで強くなる！\n最大で形態５まで強くなるんだ！\nアイコンタップでメンバー情報を確認だ,アップグレードページチュートリアルの内容
japanese_tutorial_game_result,バトルに勝利して経験値を獲得しました。\n経験値によって味方ヤンキーがどんどん解放されていきます。\n\n１回ステージに入ると体力を３消費します。\n体力回復はラーメンで行いますが、友だちに回復依頼もできます。\n\n『単車の虎』、フェイスブックと連携すると、友だちを増やせます。\n連携は〈ステイタス画面〉でおこなえます。,ゲームリザルトページチュートリアルの内容
japanese_tutorial_map_stage_1,体力はここで確認するんだ！\nラーメン缶をタップすると\nダチにラーメン缶をリクエストできるぞ！,チュートリアル後、初めてＭＡＰ画面、ステージ選択画面を表示した時
japanese_tutorial_map_stage_2,ラーメン缶をダチにプレゼントできるぞ\nリクエストもプレゼントも１日１０回だ！\nラーメン缶は毎日１０個無料で手に入るぞ,チュートリアル後、初めてＭＡＰ画面、ステージ選択画面を表示した時
japanese_tutorial_friend_list_1,ここはダチリストだな！\n『単車の虎』とフェイスブックのダチが\nリストに表示されるぞ！,はじめてダチリスト画面に遷移した時
japanese_tutorial_friend_list_2,〈プレゼント〉と〈リクエスト〉は\nここでダチを選ぶことでできるぞ！\nどっちも１日１０人までだからな！,はじめてダチリスト画面に遷移した時
japanese_tutorial_empty_ap_1,おい！　とうとう腹ペコみたいだな！\n体力不足だ！　ラーメン持ってるだろ？\nもう一暴れできるぜ！,初めてAPがなくなった時
japanese_tutorial_empty_ap_2,ラーメン食うと体力フル回復だ\n体力はじっとしていると回復するぞ\nダチにラーメン缶のリクエストもできるぜ,初めてAPがなくなった時
japanese_tutorial_vibrate_attack,おっと！ 特殊攻撃かましたな！\n今のは「ガクブル攻撃」だ！\n特殊攻撃は味方も敵も出すぞ！,初めてvibrate_attack
japanese_tutorial_flash_attack,おっと！ 特殊攻撃かましたな！\n今のは「ビビらせ攻撃」だ！\n特殊攻撃は味方も敵も出すぞ！,初めてflash_attack
japanese_tutorial_freeze_attack,おっと！特殊攻撃かましたな！\n今のは「寒いギャグ攻撃」だ！\n特殊攻撃は味方も敵も出すぞ！,初めてfreeze_attack
japanese_gachig_not_enought,ガチCが不足しています\n購入ボタンでガチＣ購入画面を表示します,ガチCが不足メッセージ
japanese_ap_not_enough_buy_ramen,体力が不足しています\nコンビニでラーメンを購入しますか？\nダチにラーメン缶のリクエストもできます\n体力は９分で１回復します,APが足りなくてラメンもなくてメッセージ
japanese_retry_stage,このステージをリトライしますか？\n装備しているアイテムはなくなります\nリトライ時に体力を３消費します,ステージをリトライ時のメッセージ
japanese_menu_back_confirm,ゲームを終了してマップ画面に戻りますか？\n装備しているアイテムはなくなります,戻るの確認
japanese_renkei_help,『単車の虎』と連携します。\n『単車の虎』の登録名が表示されます。次の連携メリットがあります：\n\n①ダチとラーメン缶のリクエストやプレゼントができます\n②ダチとランキングで競い合えます\n③『単車の虎』で使う限定パーツを取得できます\n※ゲストユーザーの方は『単車の虎』アプリをダウンロードします。,連携の情報
japanese_network_error,通信エラーです\n通信状況をお確かめのうえ、もう一度お試しください,ネットワークがエラー
japanese_renkei_confirm,『単車の虎』との連携を実行します\nゲームは再起動されます,連携の確認
japanese_use_gift_ramen_confirm,ラーメン缶を使って体力を全回復しますか？,ラメン缶使う確認
japanese_use_ramen_confirm,ラーメンを使って体力を全回復しますか？,ラメン使う確認
japanese_use_ramen_can_confirm,ラーメン缶を使って体力を全回復しますか？,ラメン缶使う確認
japanese_exitgame_confirm,ゲームを終了しますか？\nステージ途中の場合、ステージの記録は削除されます,終了の確認
japanese_change_renkei_stage,このアカウントはすでに連携済みです\n新しい端末に連携状態を移行しますか？,連携したアカウントは現在の連携状態が消すの確認
japanese_renkei_error,『単車の虎』との連携時にエラーが発生しました\nもう一度、連携しますか？,連携時のエラー
japanese_renkei_device_id_false,『単車の虎』のユーザーＩＤが見つかりませんでした,連携する時デバイスIDがエラー
japanese_response_code_invaild,通信エラーです\n通信環境をお確かめのうえ、もう一度お試しください,サーバからコードが間違いました
japanese_send_data_error,通信エラーです\n通信環境をお確かめのうえ、もう一度お試しください,サーバへデータが送信できませんでした。
japanese_buy_item_error,アイテムが買えませんでした\nもう一度、購入しますか？,買う時エラーが発生した
japanese_cannot_use_item,アイテムが使えませんでした\nもう一度、使用しますか？,アイテムが使えなく
japanese_share_facebook_ok_bonus,Facebookでシェアできました！\n１００ガチＧプレゼント！,share_facebook_ok
japanese_share_facebook_ok_no_bonus,Facebookでシェアできました！,share_facebook_ok_no_bonus
japanese_share_facebook_error,Facebookでシェアできませんでした,share_facebook_error
japanese_share_twitter_ok_bonus,Twitterでシェアできました！\n１００ガチＧプレゼント！,share_twitter_ok
japanese_share_twitter_ok_no_bonus,Twitterでシェアできました！,share_twitter_ok_no_bonus
japanese_share_twitter_error,Twitterでシェアできませんでした,share_twitter_error
japanese_share_fb_bonus_text, #gachinkonotora,FBでshareの後ろ
japanese_share_twitter_bonus_text, #gachinkonotora http://t.co/LboCWsHjBx,twitterでshareの後ろ
japanese_share_line_bonus_text, #gachinkonotora http://t.co/LboCWsHjBx,LINEでshareの後ろ
japanese_missing_file,ゲームに必要なデータが不足しています\nゲームを再起動してください,ファイルが足りなかった
japanese_game_resource_update,ゲームのアップデートがあります\nアップデート終了まで少々お待ちください,アップデートがあります
japanese_upgrade_error,アップグレードできませんでした！,アップグレードのエラー
japanese_user_id_error,がエラーです\n運営会社へ連絡してください,登録するときエラー
japanese_need_renkei,『単車の虎』との連携が必要です,連携が必要の機能
japanese_friend_existed,この相手はすでにガチダチになっています,ダチになえません
japanese_full_friend,ガチダチがいっぱいです\nだれか一人を削除しますか？,ガチダチいっぱい
japanese_remove_friend_confirm,このガチダチを削除しますか？,ガチダチを削除の確認
japanese_share_app_ajito,命散らすぜヤンキー魂！過激プレーがアツいヤンキー系バトルゲーム！『単虎外伝ガチンコの虎』。招待ＩＤでバトル楽勝アイテムゲットだ！ 招待ＩＤ：,アジトでshare
japanese_search_friend_confirm,この相手に助太刀してもらいますか？,探したユーザを呼ぶ
japanese_make_friend_confirm,この相手をガチダチにしますか？,ダチにする
japanese_call_friend_confirm,この相手を喧嘩に呼び出しますか？,ダチを呼ぶ
japanese_selected_unit_not_usable,呼び出せるメンバーがいません\nロックされていないメンバーを選んでください,アップグレード画面で選んだユニットの中に呼び出せるキャラクターがいません
japanese_selected_unit_empty,出撃メンバーが一人も選ばれていません\nメンバーは６人まで選べます,アップグレード画面でキャラクターが選ばれていません
japanese_ajito_bottom_message,#不要,アジト画面の下部画像テキスト
japanese_gachifriend_list_empty,登録されているガチダチがいません,ガチダチがいません
japanese_share_app_ajito1,命散らすぜヤンキー魂！過激プレーがアツいヤンキー系バトルゲーム！『単虎外伝ガチンコの虎』。招待ＩＤでバトル楽勝アイテムゲットだ！ 招待ＩＤ：,アジトでshareのはじめ
japanese_share_app_ajito2,です！,アジトでshareの終わり
japanese_invited_id_existed1,有効な招待ＩＤです\n,もらったインバイトIDが存在するメッセージのはじめ
japanese_invited_id_existed2,個を\nプレゼント！,もらったインバイトIDが存在するメッセージの終わり
japanese_input_invite_id_mess,招待ＩＤを入力してください\n事前登録の方は特典ＩＤを入力してください\n〈ＯＫ〉ボタンでスキップしてゲーム開始します,インバイトIDを入力のメッセージ
japanese_invaild_invite_id,有効なＩＤではありません\nもう一度招待ＩＤを入力しますか？,無効なID入力した後
japanese_input_gift_request_message,メッセージは全角で１７文字まで\n選んだ相手に同じメッセージが送信されます,プレゼント、リクエスト 共にメッセージ編集の注意
japanese_not_enough_gift,残りのラーメン缶がありません\nラーメン缶は毎日１０個取得できます,残りラメン缶が足らない
japanese_not_enough_request,これ以上リクエストできません\nリクエストは１日１０回までです,残りラメンリクエストが足らない
japanese_inbox_gift_empty,現在、プレゼントはありません\nプレゼントは相手が贈ってから２４時間でなくなります,もらったギフトがありません
japanese_inbox_request_gift_empty,現在、リクエストはありません\nリクエストは７日間表示されます,ギフトのリクエストがありません
japanese_default_gift_message,ラーメン缶をプレゼントします！,規定文プレゼント
japanese_default_request_message,ラーメン缶をリクエストします！,規定文リクエスト
japanese_receive_gift_message,おい！聞いてるか！ダチからラーメン缶もらったぜ！,ダチからアイテムをもらいます
japanese_request_gift_message,おい！起きてるか！ダチがラーメン缶求めてるぜ！,アイテムリクエストをおくります
japanese_next_first_day_bonus_alert,明日は、アイテムドロップ率倍増！ガンガン攻めよ！,初日：当日初回起動後3時間後
japanese_next_second_day_bonus_alert,明日は、経験値が倍増！アップグレードしやすいな！,2日目：当日初回起動後3時間後
japanese_invited_item_message,お前のＩＤで登録した奴がいる！プレゼントゲットだな！,インバイトIDを入力した後
japanese_notification_title,ヤンキー系ディフェンス参上！,ヤンキーディフェンス通知
japanese_friend_need_renkei_text,単車の虎やフェイスブックと連携すると\n友達がダチリストに表示されます\n※相手が『単虎外伝ガチンコの虎』ユーザーである必要があります,ダチリストを取るため、連携が必要のテキスト
japanese_no_friend_text,ダチがいません,ダチがいません時のテキスト
japanese_no_achievement,現在、達成目標の設定はありません\n次回の達成目標をお楽しみに！,アチーブメントがありません
japanese_character_unlock_info_postfix,で参上！,ロック中のテキスト
japanese_character_yp_01_name,PUNCH,ヤンキー1の名前
japanese_character_yp_02_name,苦羅宇怒,ヤンキー2の名前
japanese_character_yp_03_name,Eat-Boy,ヤンキー3の名前
japanese_character_yp_04_name,極★青龍,ヤンキー4の名前
japanese_character_yp_05_name,倶利夢尊,ヤンキー5の名前
japanese_character_yp_06_name,HitMan,ヤンキー6の名前
japanese_character_yp_07_name,獣珍,ヤンキー7の名前
japanese_character_yp_100_name,特攻ボッチ,ヤンキー100の名前
japanese_character_yp_200_name,戯亞那,ヤンキー200の名前
japanese_character_yp_300_name,龍神丸,ヤンキー300の名前
japanese_character_yp_400_name,LADY邪邪,ヤンキー400の名前
japanese_character_yp_500_name,ヤンキー500,ヤンキー500の名前
japanese_character_yp_600_name,駈乱氣,ヤンキー600の名前
japanese_character_yp_700_name,Charry～4,ヤンキー700の名前
japanese_character_yp_01_yomi,(パンチ),ヤンキー1の読み
japanese_character_yp_02_yomi,(クラウド),ヤンキー2の読み
japanese_character_yp_03_yomi,(イートボーイ),ヤンキー3の読み
japanese_character_yp_04_yomi,(ゴクボシセイリュウ),ヤンキー4の読み
japanese_character_yp_05_yomi,(クリムゾン),ヤンキー5の読み
japanese_character_yp_06_yomi,(ヒットマン),ヤンキー6の読み
japanese_character_yp_07_yomi,(ジュウチン),ヤンキー7の読み
japanese_character_yp_100_yomi,(トッコウボッチ),ヤンキー100の読み
japanese_character_yp_200_yomi,(ギアナ),ヤンキー200の読み
japanese_character_yp_300_yomi,(リュウジンマル),ヤンキー300の読み
japanese_character_yp_400_yomi,(レディジャジャ),ヤンキー400の読み
japanese_character_yp_500_yomi,ヤンキー500の名前,ヤンキー500の読み
japanese_character_yp_600_yomi,(クランケ),ヤンキー600の読み
japanese_character_yp_700_yomi,(チャリ～4),ヤンキー700の読み
japanese_character_yp_01_info,呼べばぶっ飛んで来る血の気の多さはヤンキー界随一。\n持ち前の侠気発揮して喧嘩の最前線に出張るのが得意。,ヤンキー1の情報
japanese_character_yp_02_info,ヒーロー気取って快刀乱麻のエクスカリバーぶん回す。\nやや距離を置きつつ敵の急所にズバッと斬りこむ。,ヤンキー2の情報
japanese_character_yp_03_info,牛丼３０杯は平らげるボディゆえに遅いが遠投攻撃が得意。\n後衛に陣取り、敵陣めがけて投げて投げて投げまくる！,ヤンキー3の情報
japanese_character_yp_04_info,本場仕込みの超絶テクでキメるヌンチャク攻撃が自慢。\n鍛えぬいた身体能力を活かして最前線までスピード移動。,ヤンキー4の情報
japanese_character_yp_05_info,気の強さと高ピーさは右に出るものがいない姉御系。\n容赦の無いチェーン攻撃で心的外傷まで生じさせる。,ヤンキー5の情報
japanese_character_yp_06_info,下手にイキがることのない沈着冷静さがむしろ不気味。\nぶっ飛ばすの思いを込めた強烈な一撃が取り柄だ。,ヤンキー6の情報
japanese_character_yp_07_info,ヤンキー界の重鎮にして永遠のボスキャラクター。\n任侠精神で味方ヤンキーが倒されると超絶攻撃を発揮。,ヤンキー7の情報
japanese_character_yp_100_info,原チャリっ子魂で最前線までぶっ込んでいく特攻系。\n弾ける怒りを額に貯めこみ玉砕覚悟で敵陣に突入だ！,ヤンキー100の情報
japanese_character_yp_200_info,超巨大なヘアが自慢だがすでにヤンキーを逸脱している。\nヘアー上の出来事を認識していないがパワーは最凶だ。,ヤンキー200の情報
japanese_character_yp_300_info,トラック好きが高じてついにトラックと同体化した。\nメタルな筋肉で全身を包みHPは仲間うちで随一を誇る。,ヤンキー300の情報
japanese_character_yp_400_info,脳天気なキャラで引き金を振り絞るトリガーハッピー。\n遠距離からプロ顔負けの構えでBB弾をひたすら連射する。,ヤンキー400の情報
japanese_character_yp_500_info,情報500,ヤンキー500の情報
japanese_character_yp_600_info,事故自慢の中でもとりわけ目を引く重体危篤系キャラ。\n松葉杖に仕込む大型50口径のライフルで敵を瞬殺する。,ヤンキー600の情報
japanese_character_yp_700_info,もはや都市伝説の域にある４人組がガチでやって来た。\n軽い身のこなしで最前線までぶっ込んでタメ攻撃した。,ヤンキー700の情報
japanese_ajito_below_message,ダチリストからプレゼントやリクエストができます。ランキングも確認できます。,アジトの下のメッセージ
japanese_easy_text,楽勝モード,イージ難易度
japanese_normal_text,ガチモード,ノルマル難易度
japanese_hard_text,激ヤバモード,ハード難易度
japanese_facebook_renkei_confirm,フェイスブックと連携します。\nフェイスブックの登録名とプロフィール画像が表示されます。\n次の連携メリットがあります：\n\n①ダチとラーメン缶のリクエストやプレゼントができます\n②ダチとランキングで競い合えます\n※フェイスブックより『単車の虎』の登録名が優先されます。,facebookと連携の確認
japanese_facebook_renkei_modify_confirm,このフェイスブックアカウントは他の端末に連携しています\nこの端末で連携すると他の端末の連携は無効になります\nフェイスブックと連携しますか？,一つのfacebookアカウントは１つ以上のガチアカウントを連携できないの確認
japanese_download_mapdata_message,マップデータを\nダウンロード中です...,マップデータをダウンロード時のメッセージ
japanese_empty_friend_ranking_message,現在集計中です\nランキングは経験値で求めます,ダチのランキング情報がない時のメッセージ
japanese_line_not_installed,LINEアプリをインストールしてください,LINEアプルがない、シャールできません。
japanese_open_external_app_error,アプリケーションが見つかりません,LINEなどのアプリが見つからないのメッセージ
japanese_inapp_billing_error,アプリ内課金できませんでした,アプリ内課金をする時、エラー発生しました。
japanese_achievement_result_content,『単車の虎』のマイページで受け取れます,達成もらうレヤーのメッセージ
japanese_achievement_result_kill_number_pre,,達成もらうレヤーのKillNumberのはじめ
japanese_achievement_result_kill_number_post,,達成もらうレヤーのKillNumberのおわり
japanese_achievement_result_patsu_name_pre,,達成もらうレヤーのパーツのはじめ
japanese_achievement_result_patsu_name_post,,達成もらうレヤーのパーツのおわり
japanese_achievement_get_patsu_need_renkei,賞品を受け取るために、『単車の虎』との連携が必要です\n今すぐ連携しますか？,パーツを受け取る時、連携が必要なメッセージ
japanese_achievement_no_prize_message,受け取っていない達成目標賞品はありません\n受け取れる賞品があるとき、この画面で「受取」ボタンを押すと\n『単車の虎』アプリで受け取ることができます,達成パーツがないメッセージ
japanese_item_limited_99,アイテムは９９個以上持てません,所持数が99個を超す場合
japanese_request_gift_fb_confirm,ダチにラーメン缶をリクエストしました\n相手側のフェイスブックに通知しますか？,FBの通知の確認
japanese_send_gift_fb_confirm,ダチにラーメン缶をプレゼントしました\n相手側のフェイスブックに通知しますか？,FBの通知の確認
japanese_gift_same_friend,同じ相手へのプレゼントは\n１日１回です,同じ相手へのプレゼントは１日１回です
japanese_request_same_friend,同じ相手へのリクエストは\n１日１回です,同じ相手へのリクエストは１日１回です
japanese_server_maintaining_message,サーバメンテナンス中です\nメンテナンス終了までしばらくお待ちください,サーバメンテナンス中
japanese_shop_item_detail_ai_01,体力を全回復します,コンビニアイテムの説明
japanese_shop_item_detail_ai_01_02,体力を全回復します,コンビニアイテムの説明
japanese_shop_item_detail_si_22,ドロップアイテムの有効時間を\n２０秒に伸ばします\nステージ中は有効です,コンビニアイテムの説明
japanese_shop_item_detail_si_23,ドロップアイテムの有効時間を\n３０秒に伸ばします\nステージ中は有効です,コンビニアイテムの説明
japanese_shop_item_detail_si_24,ドロップアイテムの有効時間を\n５０秒に伸ばします\nステージ中は有効です,コンビニアイテムの説明
japanese_shop_item_title_ai_01,ラーメン,コンビニアイテム
japanese_shop_item_title_ai_01_02,ラーメン３個,コンビニアイテム
japanese_shop_item_title_si_22,お守り〈極悪非道〉,コンビニアイテム
japanese_shop_item_title_si_23,お守り〈天下無敵〉,コンビニアイテム
japanese_shop_item_title_si_24,お守り〈唯我独尊〉,コンビニアイテム
japanese_drop_item_name_di_01,凶撃玉,ドロッピアイテム
japanese_drop_item_name_di_02,狂防玉,ドロップアイテム
japanese_drop_item_name_di_03,爆速玉,ドロップアイテム
japanese_drop_item_name_di_04,撃速玉,ドロッピアイテム
japanese_drop_item_name_di_05,防速玉,ドロップアイテム
japanese_drop_item_name_di_06,撃防玉,ドロップアイテム
japanese_share_sns_bonus_mess,ＳＮＳ拡散で１００ガチGゲット（1日1回までです）,プレゼントに言及して
japanese_yoyaku_top10_present,事前登録いただきありがとうございます！！\n通常プレゼントの他に『単車の虎』で使える限定パーツ\n限定パーツ「ガチトラ旗棒」をプレゼント！\n画面左下のバナーをタップしてください,事前登録者向けに有効なIDを知らせるメッセージ
japanese_bonus_yoyakuset,特典ＩＤとして有効なＩＤです\n\n〈極悪非道〉1個、〈天下無敵〉1個\n〈唯我独尊〉1個とラーメン1個をプレゼントします！！,有効な予約IDのボナス
japanese_tantora_error,『単車の虎』サーバーが応答していません\nのちほど改めてダチリストを開くと\n再度、ダチリストを取得します\nフェイスブックの友達応報のみ表示します,単虎サーバが停止している時
japanese_fb_error,フェイスブックサーバーが応答していません\nのちほど改めてダチリストを開くと\n再度、ダチリストを取得します\n『単車の虎』の友達情報のみ表示します,FBサーバが停止している時
japanese_tantora_fb_error,『単車の虎』とフェイスブックサーバーが応答していません\nのちほど改めてダチリストを開くと\n再度、ダチリストを取得します,単虎とFBサーバが停止している時
japanese_name_ye_01,パンチヤンキー,ヤンキーの名前
japanese_name_ye_02,モップヤンキー,ヤンキーの名前
japanese_name_ye_03,肩車ヤンキー,ヤンキーの名前
japanese_name_ye_04,キックヤンキー,ヤンキーの名前
japanese_name_ye_05,イケメンヤンキー,ヤンキーの名前
japanese_name_ye_06,ホッピングヤンキー,ヤンキーの名前
japanese_name_ye_07,うさぎ跳びヤンキー,ヤンキーの名前
japanese_name_ye_08,獅子舞ヤンキー,ヤンキーの名前
japanese_name_ye_09,チャリヤンキー,ヤンキーの名前
japanese_name_ye_10,相撲ヤンキー,ヤンキーの名前
japanese_name_ye_11,陰陽師ヤンキー,ヤンキーの名前
japanese_name_ye_12,神輿ヤンキー,ヤンキーの名前
japanese_name_ye_13,陸上ヤンキー,ヤンキーの名前
japanese_name_ye_14,一輪車ヤンキー,ヤンキーの名前
japanese_name_ye_15,鉄パイプヤンキー,ヤンキーの名前
japanese_name_ye_16,陸上ヤンキー,ヤンキーの名前
japanese_name_ye_17,福男ヤンキー,ヤンキーの名前
japanese_name_ye_18,戦国ヤンキー,ヤンキーの名前
japanese_name_ye_19,アニマルヤンキー,ヤンキーの名前
japanese_name_ye_20,金属バット,ヤンキーの名前
japanese_name_ye_21,陸上ヤンキー,ヤンキーの名前
japanese_name_ye_22,メカヤンキー,ヤンキーの名前
japanese_name_ye_23,戦国ヤンキー,ヤンキーの名前
japanese_name_ye_24,男塾ヤンキー,ヤンキーの名前
japanese_name_ye_25,任侠ヤンキー,ヤンキーの名前
japanese_bad_word_input,不適切な表現が含まれています\n文章を見直してください,メッセージにＮＧワードが含まれている時
